"URL","DSLD ID","Product Name","Serving Size","Ingredient","DSLD Ingredient Categories","Amount Per Serving","Amount Per Serving Unit","% Daily Value per Serving","Daily Value Target Group"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","Calories","other","5","{Calories}","",""
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","Total Carbohydrates","sugar","1","g","1","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","Beta-Alanine, Micronized","amino acid","3200","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","L-Leucine, Micronized","amino acid","3000","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","L-Isoleucine, Micronized","amino acid","1000","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","L-Valine, Micronized","amino acid","1000","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","L-Arginine, Micronized","amino acid","1000","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","Micronized L-Taurine","non-nutrient/non-botanical","1000","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","micronized L-Carnitine","non-nutrient/non-botanical","500","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","Micronized alpha-Ketogluarate","non-nutrient/non-botanical","100","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","15.5 Gram(s)","Citrulline, Micronized","amino acid","50","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Calories","other","45","{Calories}","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Total Carbohydrates","sugar","7","g","2","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Sugar","sugar","3","g","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Vitamin A","vitamin","750","IU","15","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Vitamin C","vitamin","300","mg","500","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Vitamin E","vitamin","30","IU","100","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Vitamin B1","vitamin","1","mg","63","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Vitamin B2","vitamin","1.25","mg","74","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Vitamin B3","vitamin","15","mg","50","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Vitamin B6","vitamin","10","mg","500","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Folate","vitamin","200","mcg","50","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Vitamin B12","vitamin","100","mcg","1163","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Biotin","vitamin","100","mcg","33","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Pantothenic Acid","vitamin","4","mg","40","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Calcium","mineral","150","mg","15","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Iron","mineral","3.6","mg","20","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Magnesium","mineral","80","mg","20","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Olive leaf extract","botanical","5","mg","33","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Sodium","mineral","100","mg","4","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Potassium","mineral","300","mg","9","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Creatine Monohydrate","non-nutrient/non-botanical","2000","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","L-Arginine Alpha Keto-Glutarate","non-nutrient/non-botanical","1000","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","D-Ribose","sugar","1000","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","L-Carnitine","non-nutrient/non-botanical","250","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Glucuronolactone","non-nutrient/non-botanical","250","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","L-Citrulline","amino acid","200","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Green Tea extract","botanical","150","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","15.5 Gram(s)","Boron","mineral","1","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Calories","other","8","{Calories}","0.6","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Total Carbohydrates","sugar","2","None","2","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Sugar","sugar","","None","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Vitamin B6","vitamin","10","mg","500","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Vitamin B12","vitamin","40","mcg","666","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Sodium","mineral","70","mg","3","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Phosphorus","mineral","150","mg","15","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","NO Overload(TM)","blend","8000","mg","","Adults and children 4 or more years of age"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Proprietary Precision Growth Blend","blend","","","",""
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Nitric Oxide Blend with Micro-Rx(TM) and Extend-Rx(TM) Technology","blend","","","",""
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","8 Gram(s)","Hi-Tech Arginase Inhibitors","blend","","","",""
