"URL","DSLD ID","Product Name","Statement Type","Statement"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","Suggested Use","DIRECTIONS: As a dietary supplement, mix one scoop (15.5 g) with 8 fl.oz. of water before each workout."
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","Precautions","KEEP OUT OF REACH OF CHILDREN."
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","Statement of Identity","*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. DIETARY SUPPLEMENT"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","Product Specific Information","Store in a cool, dry place."
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","Formulation","CONTAINS: Soybeans. No Sugar. ZERO-SUGAR, STIMULANT FREE"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","Other","AMINO SERIES Combines micronized L-arginine with micronized citrulline, key precursors to nitric oxide (N.O.) to get you those extreme pre-workout pumps!* GNC's Product Development Scientists were challenged to create an advanced delivery form of amino acid supplements, a critical sports nutrition component that can be used in the regimen of top athletes. LOADED WITH 7 GRAMS OF AMINOS, BETA-ALANINE & CITRULLINE MICRONIZED FORMULA DESIGNED TO ENHANCE FATIGUE-CONTROLLING FACTORS* Natural and Artificial Flavor New Notice: Significant product settling may occur. Pro Performance(R) RapidDrive(TM) Pre-Workout Amino complex feathures our most advanced RapidDrive(TM) Amino Acid technology. This formula has been scientifically designed to provide your body with the most important amino acids needed before exercise. Supplies a 3:1:1 ration of micronized branched chain amino acids (BCAA) to help reduce protein breakdown, preserve glycogen stores and stimulate muscle protein syntheses.* The result of these research efforts led to the creation of the RapidDrive(TM) Amino Series, a core group of superor and fast-absorbing amino acids for rapid muscle fuel. These ingredients have been pulverized, or ""micronized,"" from large molecules into smaller particles that are easier to absorb and facilitate fast fuel for powerful performance.* It features micronized beta-alanine which stimulates muscle carnosine levels; a key fatigue-controlling factor.* This formula is sugar-free and stimulant-free so it can be taken any time, day or night. This supreme amino formula is also equipped with L-carnitine to help convert fatty acids into energy and alpha-ketogluarate (AKG) which is important for amino acid availablilty and protein synthesis.* This unique technology is much more advanced compared to regular amino acids. Because our team is dedicated to continually improving sports nutrition products, the Pro Performance(R) RapidDrive(TM) Amino Series helps you, the athlete, get fast fuel for your muscles. Use of beta-Alanine are licensed from Natural Alternatives International, Inc. under U.S. Patents 5,965,596; 6,172,098; and 6,426,361B2."
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","Product/Version Code","CODE 351195 JKG"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","Seals/Symbols","CarnoSyn(TM) Carnosine Synthesizer"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","Other","Focus-Force-Form Sports nutrition formula"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","Statement of Identity","Dietary Supplement"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","Formulation","Contains: Soy"
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","Precautions","Contains: Soy Keep out of the reach of children. Warning: Women who are pregnant or nursing should not use this product. This product is recommended for individuals over the age of 18. Do not use if packet has been opened."
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","Suggested Use","Directions For Use: Add contents of one pouch to 8 fluid ounces of cold water and shake or stir to blend. Allow to fizz for 1-2 minutes before drinking. Drink 15-30 minutes prior to exercise."
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","Product Specific Information","Store in a cool dry place."
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","Seals/Symbols","HI-TECH PHARMACEUTICALS HTP"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","Statement of Identity","Dietary Supplement These statements have not been evaluated by the Food and Drug Administration. This product is not intended to treat, cure, diagnose or prevent any disease."
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","Other","World's Strongest Anabolic Nitric Oxide Injection System; For Rapid Muscular Size, Vascularity, Strength and Endurance; Revolutionary Arginase Inhibiton; Explosive Strength/Train Insane!"
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","Suggested Use","Directions: Recommended Use On Training Days: Once your tolerance has been established, mix 1-3 scoops with 6-8 oz of cold water and consume 30-45 minutes before training. Use approximately 6 oz of water per 1 scoop of powder. Recommended Use On Non-Training Days: Mix 1 scoop with 6 oz of cold water. "
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","Branding Statement(s)","N.O. Overload(TM) is a proprietary Precision Growth Blend that incorporates 23 state-of-the-science compounds in an optimally precise, pre-workout formula for bodybuilders and athletes who want to gain muscle and enhance performance, strength and training intensity! Muscle N.O. Overload(TM) incorporates into its formulation:; Hi-Tech Arginase Inhibitors; Hi-Tech Muscle Cell Volumizing and Work Performance Technology; Nitric Oxide Blend – Micro-Rx(TM)/Extend-Rx(TM) Technology; Thermo-Rx(R) and Hi-Tech Energy Complex This unique, multi-directional formulation is designed to facilitate an optimal pre-workout metabolic environment, by creating a staging area in the bloodstream of key compounds that act synergistically to enhance nitric oxide (NO) production and vasodilation, primarily through the unrivaled use of novel arginase inhibitors. This allows for more intense and longer muscular contraction across a spectrum of various resistance and endurance to perform high intensity training, from start to finish, beyond your normal threshold limits. Hi-Tech’s revolutionary arginase inhibition approach is truly novel to the supplement industry. N.O. Overload(TM) has the ability to generate and maintain substantially more NO than ordinary AAKG-based NO products. N.O. Overload(TM)'s arginine inhibitors, ABH, BEC and L-Norvaline, ensure safe delivery of the high dosage of arginine in N.O. Overload(TM) directly into muscle fibers, resulting in a significant increase in the availability of arginine for NO production. This translates to an incredible perpetual pump, which results in continuous muscle fullness, hardness and vascularity.  N.O. Overload(TM), by utilizing arginase inhibition, has raised the bar in the nitric oxide sports nutrition category."
