"URL","DSLD ID","Product Name","Brand Name","Bar Code","Net Contents","Serving Size","Product Type [LanguaL]","Supplement Form [LanguaL]","Date Entered into DSLD","Market Status","Suggested Use"
"https://dsld.od.nih.gov/label/2722","2722","RapidDrive Pre-Workout Amino Complex Fruit Punch","GNC Pro Performance","0 48107 09083 8","10.92 oz.; 310 g","15.5 Gram(s) [1 scoop]","Amino acid/Protein [A1305]","Powder [E0162]","2011-12-23","On Market","DIRECTIONS: As a dietary supplement, mix one scoop (15.5 g) with 8 fl.oz. of water before each workout."
"https://dsld.od.nih.gov/label/3178","3178","Torch Pre-Burn Pre-Workout Drink Wildberry","Market America","","15.5 Gram(s)","15.5 Gram(s) [1 packet]","Other Combinations [A1325]","Powder [E0162]","2011-12-23","On Market","Directions For Use: Add contents of one pouch to 8 fluid ounces of cold water and shake or stir to blend. Allow to fizz for 1-2 minutes before drinking. Drink 15-30 minutes prior to exercise."
"https://dsld.od.nih.gov/label/10324","10324","N.O. Overload Pre-Workout Formula Pounding Punch Flavor","Hi-Tech Pharmaceuticals","8 57084 00045 3","310 Gram(s)","8 Gram(s) [1 Scoop (8g)]","Other Combinations [A1325]","Powder [E0162]","2012-06-25","On Market","Directions:Recommended Use On Training Days: Once your tolerance has been established, mix 1-3 scoops with 6-8 oz of cold water and consume 30-45 minutes before training. Use approximately 6 oz of water per 1 scoop of powder.Recommended Use On Non-Training Days: Mix 1 scoop with 6 oz of cold water."
"https://dsld.od.nih.gov/label/17548","17548","N.O.370 Pre-Workout Formula Fruit Punch","Top Secret","8 58311 00222 6","300 g; 30 Serving(s)","10 Gram(s) [1 scoop]","Other Combinations [A1325]","Powder [E0162]","2013-01-25","On Market","DIRECTIONS: As a dietary supplement, adults mix one full scoop with 4 to 6 ounces of water 20 minutes prior to exercise."
"https://dsld.od.nih.gov/label/17699","17699","Mr Hyde Pre Workout Amplifier Punch","PS ProSupps","6 10708 88230 5","8.67 oz.; 246 grams; 40 Serving(s)","6.15 Gram(s) [1 scoop]","Other Combinations [A1325]","Powder [E0162]","2013-01-25","On Market","SUGGESTED USE: AS A DIETARY SUPPLEMENT, MIX 1 SCOOP OF MR HYDE(TM) WITH 8-OZ OF COLD WATER. CONSUME 15 TO 30 MINUTES BEFORE EXERCISE. DO NOT CONSUME MR HYDE(TM) WITHIN 4 HOURS PRIOR TO BEDTIME. DO NOT TAKE ANY OTHER PRODUCTS THAT CONTAIN CAFFEINE OR ANY OTHER STIMULANTS WHILE TAKING MR HYDE(TM)."
"https://dsld.od.nih.gov/label/18125","18125","Nano Vapor Hardcore Pre-Workout Formula Sour Apple","MuscleTech Performance Series","6 31656 70380 1","1.2 lbs; 528 g","13 Gram(s) [1-3 scoops]","Other Combinations [A1325]","Powder [E0162]","2013-02-25","On Market","DIRECTIONS: This is an extremely strong product. Please read the entire directions before consuming, and follow the tolerance assessment protocol. Assess your tolerance first by mixing 1 serving (1 scoop) with 4 oz. of cold water and drinking it about 30 minutes before your daily workout. Then increase the dosage to 2 and then 3 servings mixed with 8 to 12 oz. of cold water before working out. Do not exceed 3 servings (3 scoops) in a 24-hour period. Maintain an adequate state of hydration during use."
"https://dsld.od.nih.gov/label/19116","19116","Ripped Freak RF Pre-Workout Blue Raspberry Flavor","PharmaFreak","8 55504 00126 4","200 g; 45 Serving(s)","4.488 Gram(s) [1-2 scoops]","Other Combinations [A1325]","Powder [E0162]","2013-02-25","On Market","DIRECTIONS: As a dietary supplement, mix 1 scoop (4,488 mg) with 8 to 12 ounces (250-350 ml) of cold water and consume 30 to 45 minutes before activity. Due to its extreme strength, it is highly recommended that you assess your individual tolerance and start out by using only 1 scoop (1 serving) before you try consuming 1½ or 2 scoops. RIPPED FREAK(R) PRE-WORKOUT is so strong that many individuals find 1 scoop is more than strong enough to deliver maximum results."
"https://dsld.od.nih.gov/label/19251","19251","BRX Body Rush X Pre-Workout Watermelon","Force Factor","8 52496 00290 3","0.35 lbs; 0.16 kg; 40 Serving(s)","8 Gram(s) [2 scoops, 1 scoop SS]","Other Combinations [A1325]","Powder [E0162]","2013-05-24","On Market","UsageWorkout Days: Mix and drink 2 scoops with 8-12 oz. of water 30 min. before working out.Non-Workout Days: Mix and drink 2 scoops with 8-12 oz. of water 30 min. before breakfast."
"https://dsld.od.nih.gov/label/19252","19252","BRX Body Rush X Pre-Workout Blue Raz","Force Factor","8 52496 00289 7","0.35 lbs; 0.16 kg; 40 Serving(s)","8 Gram(s) [2 scoops, 1 scoop SS]","Other Combinations [A1325]","Powder [E0162]","2013-02-25","On Market","UsageWorkout Days: Mix and drink 2 scoops with 8-12 oz. of water 30 min. before working out.Non-Workout Days: Mix and drink 2 scoops with 8-12 oz. of water 30 min. before breakfast."
"https://dsld.od.nih.gov/label/25737","25737","Volt Pre-Workout Watermelon","Neon Sport","8 10390 02019 5","180 Gram(s)","5 Gram(s) [1 scoop]","Other Combinations [A1325]","Powder [E0162]","2013-09-25","On Market","Use only as directed. SUGGESTED USE: Due to extreme potency, assess tolerance by beginning with a single (1) scoop serving for the first few days before adding additional scoops, especially if you are sensitive to stimulants. Pre-Workout"
