DSLD ID,Product Name,ingredient_count,fully_disclosed_count,partially_disclosed_count,not_disclosed_count,disclosure_rate_strict,disclosure_rate_any,disclosure_band,disclosure_band_order,fully_disclosed_flag
10324,N.O. Overload Pre-Workout Formula Pounding Punch Flavor,12,5,0,7,41.7,41.7,Low disclosure (<50%),1,No
17548,N.O.370 Pre-Workout Formula Fruit Punch,24,11,0,13,45.8,45.8,Low disclosure (<50%),1,No
17699,Mr Hyde Pre Workout Amplifier Punch,16,16,0,0,100,100,Full disclosure (100%),4,Yes
177232,Organic Pre-Workout Apple Ginger,16,6,0,10,37.5,37.5,Low disclosure (<50%),1,No
177235,Organic Pre-Workout Black Cherry,16,6,0,10,37.5,37.5,Low disclosure (<50%),1,No
177236,Organic Pre-Workout Chocolate,16,6,0,10,37.5,37.5,Low disclosure (<50%),1,No
180041,E.S.P. Pre-Workout Blue Raspberry,14,3,4,7,21.4,50,Low disclosure (<50%),1,No
180051,E.S.P. Pre-Workout Fruit Punch,14,3,4,7,21.4,50,Low disclosure (<50%),1,No
180059,E.S.P. Pre-Workout Green Apple,14,3,4,7,21.4,50,Low disclosure (<50%),1,No
180062,E.S.P. Pre-Workout Watermelon,14,3,4,7,21.4,50,Low disclosure (<50%),1,No
18125,Nano Vapor Hardcore Pre-Workout Formula Sour Apple,19,14,0,5,73.7,73.7,Moderate disclosure (50–<80%),2,No
181976,Weapon-X Pre-Workout Extreme,12,1,0,11,8.3,8.3,Low disclosure (<50%),1,No
182473,Rainmaker Extreme Energy Pre-Workout Raspberry Lemonade,18,18,0,0,100,100,Full disclosure (100%),4,Yes
182570,Rainmaker Extreme Energy Pre-Workout Sour Apple,18,18,0,0,100,100,Full disclosure (100%),4,Yes
182654,Pre-Workout Watermelon,6,5,0,1,83.3,83.3,High disclosure (80–<100%),3,No
182657,Pre-Workout Raspberry Lemonade,6,5,0,1,83.3,83.3,High disclosure (80–<100%),3,No
182691,Rainmaker Extreme Energy Pre-Workout Raspberry Lemonade,18,18,0,0,100,100,Full disclosure (100%),4,Yes
182705,Rainmaker Extreme Energy Pre-Workout Sour Apple,18,18,0,0,100,100,Full disclosure (100%),4,Yes
19116,Ripped Freak RF Pre-Workout Blue Raspberry Flavor,7,1,0,6,14.3,14.3,Low disclosure (<50%),1,No
19251,BRX Body Rush X Pre-Workout Watermelon,7,5,0,2,71.4,71.4,Moderate disclosure (50–<80%),2,No
19252,BRX Body Rush X Pre-Workout Blue Raz,7,5,0,2,71.4,71.4,Moderate disclosure (50–<80%),2,No
200650,InstaGator Pre-Workout Coconut Margarita,6,6,0,0,100,100,Full disclosure (100%),4,Yes
200653,InstaGator Pre-Workout Whipped Orange Cream,6,6,0,0,100,100,Full disclosure (100%),4,Yes
200655,InstaGator Pre-Workout Rainbow Sherbet,6,6,0,0,100,100,Full disclosure (100%),4,Yes
202315,Pre-Workout Citrus Dew,5,5,0,0,100,100,Full disclosure (100%),4,Yes
202318,Pre-Workout Cotton Candy Grape,5,5,0,0,100,100,Full disclosure (100%),4,Yes
202582,Intense Pre-Workout Boost Citrus Burst Flavored,29,14,0,15,48.3,48.3,Low disclosure (<50%),1,No
202960,Pre Workout Tropical Pineapple,10,10,0,0,100,100,Full disclosure (100%),4,Yes
203233,Pre Workout Blueberry Lemonade,10,10,0,0,100,100,Full disclosure (100%),4,Yes
204332,Pre Workout Grape Flavor,15,7,0,8,46.7,46.7,Low disclosure (<50%),1,No
204384,Pre Workout Strawberry Kiwi Flavor,15,7,0,8,46.7,46.7,Low disclosure (<50%),1,No
204391,Pre Workout Strawberry Kiwi Flavor,15,7,0,8,46.7,46.7,Low disclosure (<50%),1,No
205171,Amino Power Pre-Workout Natural Raspberry,12,9,0,3,75,75,Moderate disclosure (50–<80%),2,No
206189,Super Charge! Pre-Workout Grape,26,18,0,8,69.2,69.2,Moderate disclosure (50–<80%),2,No
206191,Super Charge! Pre-Workout Watermelon,26,18,0,8,69.2,69.2,Moderate disclosure (50–<80%),2,No
207647,Pre Workout Blue Raspberry,9,9,0,0,100,100,Full disclosure (100%),4,Yes
207651,Pre Workout Cherry Limeade,9,9,0,0,100,100,Full disclosure (100%),4,Yes
207680,Pre Workout Fruit Punch,9,9,0,0,100,100,Full disclosure (100%),4,Yes
210095,Clash Fully Loaded Pre-Workout,15,15,0,0,100,100,Full disclosure (100%),4,Yes
213960,Natural Pre Workout Carnival Candy,6,6,0,0,100,100,Full disclosure (100%),4,Yes
213962,Natural Pre Workout Island Mist,6,6,0,0,100,100,Full disclosure (100%),4,Yes
213966,Pinnacle Pre-Workout Maui Crush,14,10,0,4,71.4,71.4,Moderate disclosure (50–<80%),2,No
213970,Pinnacle Pre-Workout Pink Slushee,14,10,0,4,71.4,71.4,Moderate disclosure (50–<80%),2,No
215456,Ketogenic Pre-Workout Pink Lemonade,15,15,0,0,100,100,Full disclosure (100%),4,Yes
215460,Ketogenic Pre-Workout Star Berry Savers,15,15,0,0,100,100,Full disclosure (100%),4,Yes
215633,K-XR Pre-Workout Miami Vice,13,5,0,8,38.5,38.5,Low disclosure (<50%),1,No
218901,Keto Pre-Workout Watermelon Chill,11,8,0,3,72.7,72.7,Moderate disclosure (50–<80%),2,No
229010,Bucked Up Pre-Workout Blue Raz,10,10,0,0,100,100,Full disclosure (100%),4,Yes
229016,Bucked Up Pre-Workout Gym N' Juice,10,10,0,0,100,100,Full disclosure (100%),4,Yes
229018,Bucked Up Pre-Workout 'Merica Rocket Pop,10,10,0,0,100,100,Full disclosure (100%),4,Yes
229041,Bucked Up Pre-Workout Strawberry Kiwi,10,10,0,0,100,100,Full disclosure (100%),4,Yes
229051,Bucked Up Pre-Workout Watermelon,10,10,0,0,100,100,Full disclosure (100%),4,Yes
230324,NitroSurge Pre-Workout Blue Raspberry,7,7,0,0,100,100,Full disclosure (100%),4,Yes
233622,Helios Pre Workout Atomic Bombsicle,12,12,0,0,100,100,Full disclosure (100%),4,Yes
233626,Helios Pre Workout Blue Razz,12,12,0,0,100,100,Full disclosure (100%),4,Yes
235589,Hooligan Extreme Pre-Workout Formula Strawberry Margarita,16,16,0,0,100,100,Full disclosure (100%),4,Yes
239974,5150 High Stimulant Pre-Workout Green Apple,19,10,0,9,52.6,52.6,Moderate disclosure (50–<80%),2,No
240233,Pre Workout Raspberry Punch,18,18,0,0,100,100,Full disclosure (100%),4,Yes
242064,Savage Pre-Workout Blue Raspberry,11,11,0,0,100,100,Full disclosure (100%),4,Yes
243793,Klean Pre-Workout Natural Lemon Tea Flavor,5,5,0,0,100,100,Full disclosure (100%),4,Yes
243942,Organic Pre-Workout Passionfruit Guava,29,6,0,23,20.7,20.7,Low disclosure (<50%),1,No
243944,Organic Pre-Workout Strawberry Mango,28,5,0,23,17.9,17.9,Low disclosure (<50%),1,No
243982,Klean Pre-Workout Natural Lemon Tea Flavor,5,5,0,0,100,100,Full disclosure (100%),4,Yes
244013,Pre-Workout Pink Blast,12,12,0,0,100,100,Full disclosure (100%),4,Yes
244022,Pre-Workout Electric Lemonade,12,12,0,0,100,100,Full disclosure (100%),4,Yes
244118,Sasquatch Pre-Workout,21,21,0,0,100,100,Full disclosure (100%),4,Yes
245694,Energizing Pre-Workout Pink Lemonade,13,13,0,0,100,100,Full disclosure (100%),4,Yes
246833,Zuum Pre-Workout Sour Green Apple,12,11,0,1,91.7,91.7,High disclosure (80–<100%),3,No
247878,Pre-Workout Aloha Pineapple,5,5,0,0,100,100,Full disclosure (100%),4,Yes
248858,Wrecked Pre-Workout Rainbow Burst,25,18,0,7,72,72,Moderate disclosure (50–<80%),2,No
248861,Bucked Up Pre-Workout Grape Gainz,13,10,0,3,76.9,76.9,Moderate disclosure (50–<80%),2,No
248864,Spazmatic Pre-Workout Drink Watermelon Taffy,19,16,0,3,84.2,84.2,High disclosure (80–<100%),3,No
249302,Rage Extreme Pre-Workout Pineapple Splash,16,12,0,4,75,75,Moderate disclosure (50–<80%),2,No
249994,Black Powder Pre Workout,26,26,0,0,100,100,Full disclosure (100%),4,Yes
252036,Gainful Pre-Workout Sour Watermelon,7,7,0,0,100,100,Full disclosure (100%),4,Yes
255344,Gold Standard Pre-Workout Fruit Punch,21,18,0,3,85.7,85.7,High disclosure (80–<100%),3,No
256278,Bucked Up Pre-Workout Blue Snow Cone,11,11,0,0,100,100,Full disclosure (100%),4,Yes
256288,Bucked Up Pre-Workout Red Snow Cone,11,11,0,0,100,100,Full disclosure (100%),4,Yes
25737,Volt Pre-Workout Watermelon,12,3,0,9,25,25,Low disclosure (<50%),1,No
257528,K-XR Original Pre-Workout Blackberry Lemonade,19,13,0,6,68.4,68.4,Moderate disclosure (50–<80%),2,No
257529,K-XR Original Pre-Workout Gummy Bear,18,12,0,6,66.7,66.7,Moderate disclosure (50–<80%),2,No
257530,K-XR Original Pre-Workout Miami Vice,18,12,0,6,66.7,66.7,Moderate disclosure (50–<80%),2,No
257531,K-XR Original Pre-Workout Patriot Pop,18,12,0,6,66.7,66.7,Moderate disclosure (50–<80%),2,No
257532,K-XR Original Pre-Workout Peach Mango,18,12,0,6,66.7,66.7,Moderate disclosure (50–<80%),2,No
